rent_sno,date,0
30,2021-11-24,131
30,2021-11-25,127
30,2021-11-26,105
30,2021-11-27,86
30,2021-11-28,67
30,2021-11-29,139
30,2021-11-30,111
31,2021-11-01,108
31,2021-11-02,125
31,2021-11-03,100
31,2021-11-04,112
31,2021-11-05,136
31,2021-11-06,120
31,2021-11-07,98
31,2021-11-08,91
31,2021-11-09,107
31,2021-11-10,112
31,2021-11-11,117
31,2021-11-12,94
31,2021-11-13,61
31,2021-11-14,85
31,2021-11-15,100
31,2021-11-16,124
31,2021-11-17,130
31,2021-11-18,102
31,2021-11-19,137
31,2021-11-20,114
31,2021-11-21,144
31,2021-11-22,87
31,2021-11-23,67
31,2021-11-24,100
31,2021-11-25,111
31,2021-11-26,47
31,2021-11-27,45
31,2021-11-28,104
31,2021-11-29,126
31,2021-11-30,99
32,2021-11-01,295
32,2021-11-02,291
32,2021-11-03,299
32,2021-11-04,271
32,2021-11-05,265
32,2021-11-06,240
32,2021-11-07,215
32,2021-11-08,178
32,2021-11-09,298
32,2021-11-10,293
32,2021-11-11,289
32,2021-11-12,207
32,2021-11-13,151
32,2021-11-14,179
32,2021-11-15,268
32,2021-11-16,303
32,2021-11-17,298
32,2021-11-18,204
32,2021-11-19,298
32,2021-11-20,184
32,2021-11-21,209
32,2021-11-22,192
32,2021-11-23,159
32,2021-11-24,251
32,2021-11-25,254
32,2021-11-26,98
32,2021-11-27,78
32,2021-11-28,180
32,2021-11-29,262
32,2021-11-30,221
33,2021-11-01,133
33,2021-11-02,125
33,2021-11-03,107
33,2021-11-04,130
33,2021-11-05,140
33,2021-11-06,89
33,2021-11-07,67
33,2021-11-08,101
33,2021-11-09,116
33,2021-11-10,123
33,2021-11-11,118
33,2021-11-12,120
33,2021-11-13,56
33,2021-11-14,53
33,2021-11-15,131
33,2021-11-16,125
33,2021-11-17,116
33,2021-11-18,94
33,2021-11-19,119
33,2021-11-20,60
33,2021-11-21,66
33,2021-11-22,100
33,2021-11-23,69
