return_sno,date,0
38,2021-11-14,174
38,2021-11-15,332
38,2021-11-16,320
38,2021-11-17,357
38,2021-11-18,289
38,2021-11-19,313
38,2021-11-20,134
38,2021-11-21,177
38,2021-11-22,252
38,2021-11-23,199
38,2021-11-24,310
38,2021-11-25,261
38,2021-11-26,132
38,2021-11-27,66
38,2021-11-28,162
38,2021-11-29,280
38,2021-11-30,258
39,2021-11-01,77
39,2021-11-02,69
39,2021-11-03,72
39,2021-11-04,76
39,2021-11-05,89
39,2021-11-06,55
39,2021-11-07,49
39,2021-11-08,29
39,2021-11-09,81
39,2021-11-10,67
39,2021-11-11,83
39,2021-11-12,34
39,2021-11-13,25
39,2021-11-14,46
39,2021-11-15,93
39,2021-11-16,71
39,2021-11-17,87
39,2021-11-18,53
39,2021-11-19,62
39,2021-11-20,25
39,2021-11-21,51
39,2021-11-22,47
39,2021-11-23,27
39,2021-11-24,86
39,2021-11-25,79
39,2021-11-26,18
39,2021-11-27,3
39,2021-11-28,39
39,2021-11-29,66
39,2021-11-30,65
40,2021-11-01,86
40,2021-11-02,108
40,2021-11-03,84
40,2021-11-04,98
40,2021-11-05,103
40,2021-11-06,102
40,2021-11-07,104
40,2021-11-08,68
40,2021-11-09,103
40,2021-11-10,100
40,2021-11-11,90
40,2021-11-12,76
40,2021-11-13,54
40,2021-11-14,84
40,2021-11-15,82
40,2021-11-16,102
40,2021-11-17,92
40,2021-11-18,66
40,2021-11-19,88
40,2021-11-20,60
40,2021-11-21,79
40,2021-11-22,64
40,2021-11-23,48
40,2021-11-24,82
40,2021-11-25,63
40,2021-11-26,50
40,2021-11-27,22
40,2021-11-28,87
40,2021-11-29,84
40,2021-11-30,72
41,2021-11-01,53
41,2021-11-02,54
41,2021-11-03,39
41,2021-11-04,48
41,2021-11-05,69
41,2021-11-06,78
41,2021-11-07,51
41,2021-11-08,27
41,2021-11-09,60
41,2021-11-10,63
41,2021-11-11,51
41,2021-11-12,38
41,2021-11-13,30
